IK;Nachfolge IK;Gültig ab;Gültig bis;Name1;Name2;Strasse;Land;PLZ;Ort-BG;Vorwahl;Tel-Nr;Fax-Nr;IK-UNIDAV;"KIM UNI-DAV"
120291934;;05.03.2010;;Unfallkasse Nord;Standorte Hamburg und Kiel;Spohrstr. 2;DE;22083;Hamburg;040;271530;271531014;120591481;dale-uv@dguv.kim.telematik
120591802;;06.01.2010;;Unfallkasse NRW;RD Rheinland;Moskauer Str. 18;DE;40227;Düsseldorf;0211;28080;2808119;120591481;dale-uv@dguv.kim.telematik
120591824;;30.11.2012;;Unfallkasse NRW;RD Westfalen-Lippe;Salzmannstr. 156;DE;48159;Münster;0251;21020;218569;120591481;dale-uv@dguv.kim.telematik
120391968;;12.12.2006;;Landesunfallkasse Niedersachsen;;Am Mittelfelde 169;DE;30519;Hannover;0511;87070;8707188;120591481;dale-uv@dguv.kim.telematik
120991942;;12.12.2006;;Bayerische Landesunfallkasse;Sitz München;Ungererstr. 71;DE;80805;München;089;360930;36093135;120591481;dale-uv@dguv.kim.telematik
120991737;;12.12.2006;;KUVB;Kommunale Unfallversicherung Bayern;Ungererstr. 71;DE;80805;München;089;360930;36093135;120591481;dale-uv@dguv.kim.telematik
120391742;;12.12.2006;;Braunschweigischer GUVV;;Berliner Platz 1 c;DE;38102;Braunschweig;0531;273740;2737430;120591481;dale-uv@dguv.kim.telematik
120391764;;12.12.2006;;GUVV Hannover;;Am Mittelfelde 169;DE;30519;Hannover;0511;87070;8707188;120591481;dale-uv@dguv.kim.telematik
120391786;;12.12.2006;;GUVV Oldenburg;;Gartenstr. 9;DE;26122;Oldenburg;0441;779090;7790950;120591481;dale-uv@dguv.kim.telematik
120692041;;02.01.2012;;Unfallversicherung Bund und Bahn;Bereich Bahn;Salvador-Allende-Str. 9;DE;60487;Frankfurt;069;478630;478632902;120591481;dale-uv@dguv.kim.telematik
120392037;;30.09.2008;;Unfallversicherung Bund und Bahn;Bereich Bund;Weserstr. 47;DE;26382;Wilhelmshaven;04421;4074007;4074070;120591481;dale-uv@dguv.kim.telematik
120392333;;21.12.2009;;Feuerwehr-Unfallkasse Niedersachsen;;Bertastr. 5;DE;30159;Hannover;0511;9895555;9895433;120591481;dale-uv@dguv.kim.telematik
121290025;;30.11.2005;;Feuerwehr-Unfallkasse Brandenburg;;Müllroser Chaussee 75;DE;15236;Frankfurt;0335;52160;5216222;120591481;dale-uv@dguv.kim.telematik
121590040;;02.08.2007;;Feuerwehr-Unfallkasse Mitte;LGSt Sachsen-Anhalt;Carl-Miller-Str. 7;DE;39112;Magdeburg;0391;544590;5445922;120591481;dale-uv@dguv.kim.telematik
121690096;;03.09.2010;;Feuerwehr-Unfallkasse Mitte;LGSt Thüringen;Magdeburger Allee 4;DE;99086;Erfurt;0361;6015440;60154421;120591481;dale-uv@dguv.kim.telematik
120292321;;20.02.2007;;Hanseatische Feuerwehr Unfallkasse Nord;LGSt Hamburg;Mönckebergstraße 5;DE;20095;Hamburg;040;253280-66;253280-73;120591481;dale-uv@dguv.kim.telematik
121390059;;31.01.2007;;Hanseatische Feuerwehr-Unfallkasse Nord;LGSt Mecklenburg-Vorpommern;Bertha-von Suttner-Str. 5;DE;19061;Schwerin;0385;3031700;3031706;120591481;dale-uv@dguv.kim.telematik
120192397;;17.08.2012;;Hanseatische Feuerwehr Unfallkasse Nord;LGSt Schleswig-Holstein ;Hopfenstr. 2 d;DE;24114;Kiel;0385;3031700;3031706;120591481;dale-uv@dguv.kim.telematik
121192399;;01.10.2019;;Verbindungsstelle (DVUA) EE,FI,IS,IL,LV,LT,LU,PL,SE;;Postfach 40165;DE;10061;Berlin;0203;29520;02032952130;120591481;dale-uv@dguv.kim.telematik
121192402;;01.10.2019;;Verbindungsstelle (DVUA) Belgien (BE), Irland (IE);;Postfach 40165;DE;10061;Berlin;06221;51080;02032952130;120591481;dale-uv@dguv.kim.telematik
121192413;;01.10.2019;;Verbindungsstelle (DVUA) BA,HR,ME,MK,RS,SI,XK;;Postfach 40165;DE;10061;Berlin;0621;1830;02032952130;120591481;dale-uv@dguv.kim.telematik
121192424;;01.10.2019;;Verbindungsstelle (DVUA) Italien (IT), Norwegen (NO);;Postfach 40165;DE;10061;Berlin;06221;51080;02032952130;120591481;dale-uv@dguv.kim.telematik
121192435;;01.10.2019;;Verbindungsstelle (DVUA) BR,CH,ES,FR,PT,SK,CZ;;Postfach 40165;DE;10061;Berlin;0621;44560;02032952130;120591481;dale-uv@dguv.kim.telematik
121192446;;01.10.2019;;Verbindungsstelle (DVUA) AT,BG,HU,LI,MD,RO,NL;;Postfach 40165;DE;10061;Berlin;089;889701;02032952130;120591481;dale-uv@dguv.kim.telematik
121192457;;01.10.2019;;Verbindungsstelle (DVUA) DK, GR, MA, TN, TR;;Postfach 40165;DE;10061;Berlin;0821;31590;02032952130;120591481;dale-uv@dguv.kim.telematik
121192377;;01.10.2019;;Verbindungsstelle (DVUA) CY, GB, MT, Quebec;;Postfach 40165;DE;10061;Berlin;030;130011610;02032952130;120591481;dale-uv@dguv.kim.telematik
999999999;;01.01.2013;;Dummy-IK Heilverfahrensverordnung Bundesbeamte
